PRICE,BEDS,TYPE,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,NEIGHBORHOOD,PRICE_PER_SQFT
1395000.0,2.0,Condo,2.0,1182.0,40.6787789,-73.9643728,11238,Brooklyn,Bedford Stuyvesant - Crown Heights,1180.2030456852792
198000.0,1.0,Co-op,1.0,2184.207862,40.700309,-73.8535466,11421,Queens,Southwest Queens,90.65071298603355
1489000.0,6.0,Multi-family home,2.5,3780.0,40.5395319,-74.1450877,10308,Staten Island,South Beach - Tottenville,393.9153439153439
1595000.0,3.0,Condo,3.0,1413.0,40.6915139,-73.935444,11221,Brooklyn,Williamsburg - Bushwick,1128.8039631988677
655000.0,3.0,Condo,2.0,803.0,40.6967268,-73.9074036,11237,Brooklyn,Williamsburg - Bushwick,815.6911581569116
1175000.0,2.0,Condo,2.0,1115.0,40.6915139,-73.935444,11221,Brooklyn,Williamsburg - Bushwick,1053.8116591928251
2880000.0,9.0,Multi-family home,2.5,2350.0,40.7832094,-73.7967588,11357,Queens,Flushing - Clearview,1225.531914893617
798000.0,3.0,Multi-family home,4.0,2150.0,40.5874844,-74.0701056,10305,Staten Island,Stapleton - St. George,371.16279069767444
1650000.0,2.0,Condo,2.0,1065.0,40.7833546,-73.9499982,10128,Manhattan,Upper East Side,1549.2957746478874
1650000.0,2.0,Condo,2.0,1065.0,40.7833546,-73.9499982,10128,Manhattan,Upper East Side,1549.2957746478874
250000.0,5.0,Multi-family home,2.0,2184.207862,40.66911,-73.789339,11436,Queens,Jamaica,114.45797094196156
585000.0,3.0,House,2.0,1100.0,40.5784263,-74.105437,10306,Staten Island,South Beach - Tottenville,531.8181818181819
595000.0,3.0,House,1.0,1316.0,40.6239146,-73.9291226,11234,Brooklyn,Canarsie - Flatlands,452.1276595744681
215000.0,1.0,Condo,1.0,625.0,40.7267732,-74.002538,10012,Manhattan,Greenwich Village - SoHo,344.0
314000.0,3.0,House,1.0,1572.0,40.6362368,-73.939679,11210,Brooklyn,East Flatbush - Flatbush,199.74554707379136
395000.0,5.0,Condo,1.0,1000.0,40.7700395,-73.9638872,10021,Manhattan,Upper East Side,395.0
600000.0,2.0,Multi-family home,2.0,2184.207862,40.8429545,-73.8249591,10465,Bronx,Pelham - Throgs Neck,274.69913026070776
790000.0,6.0,Multi-family home,3.0,2520.0,40.6105856,-74.1268175,10314,Staten Island,Willowbrook,313.4920634920635
539000.0,2.0,Co-op,2.0,1100.0,40.6170731,-74.0383836,11209,Brooklyn,Bensonhurst - Bay Ridge,490.0
1295000.0,4.0,Co-op,2.0,1995.0,40.8809873,-73.9224337,10463,Bronx,Kingsbridge - Riverdale,649.1228070175439
245000.0,3.0,House,1.0,2184.207862,40.8690109,-73.8564445,10469,Bronx,Northeast Bronx,112.16881152312233
400000.0,7.0,House,3.0,2385.0,40.8969146,-73.8654984,10470,Bronx,Northeast Bronx,167.71488469601678
280000.0,1.0,Co-op,1.0,1000.0,40.6241766,-74.0216837,11209,Brooklyn,Bensonhurst - Bay Ridge,280.0
899000.0,3.0,House,2.0,1440.0,40.5159004,-74.2314825,10309,Staten Island,South Beach - Tottenville,624.3055555555555
1495000.0,4.0,House,2.5,3000.0,40.5247627,-74.1681035,10312,Staten Island,South Beach - Tottenville,498.3333333333333
325000.0,2.0,Condo,1.0,979.0,40.7897507,-73.9487257,10029,Manhattan,East Harlem,331.97139938712974
2695000.0,6.0,Townhouse,5.0,4720.0,40.8235127,-73.9467514,10031,Manhattan,Washington Heights - Inwood,570.9745762711865
